iter	Passed	Remaining
0	161	160972
1	162	81246
2	164	54658
3	165	41287
4	167	33247
5	168	27904
6	169	24080
7	171	21225
8	172	18995
9	174	17318
10	176	15847
11	177	14618
12	179	13593
13	180	12708
14	181	11948
15	183	11278
16	184	10691
17	186	10199
18	188	9744
19	190	9358
20	192	8978
21	194	8649
22	197	8375
23	200	8136
24	201	7863
25	203	7609
26	205	7409
27	206	7181
28	208	6966
29	209	6770
30	210	6588
31	212	6413
32	213	6261
33	215	6110
34	216	5966
35	218	5839
36	220	5741
37	221	5617
38	223	5500
39	224	5388
40	225	5281
41	227	5180
42	228	5082
43	229	4989
44	231	4902
45	232	4828
46	236	4794
47	237	4718
48	239	4641
49	240	4567
50	241	4499
51	243	4431
52	244	4365
53	245	4303
54	246	4243
55	250	4222
56	251	4163
57	252	4106
58	254	4053
59	255	4005
60	256	3955
61	258	3909
62	259	3863
63	260	3816
64	262	3770
65	265	3752
66	266	3709
67	267	3667
68	268	3627
69	270	3588
70	271	3549
71	272	3512
72	273	3477
73	275	3442
74	276	3410
75	279	3403
76	281	3379
77	283	3350
78	284	3321
79	286	3295
80	288	3269
81	289	3241
82	290	3206
83	291	3180
84	294	3166
85	295	3142
86	297	3118
87	298	3093
88	299	3070
89	301	3046
90	302	3025
91	304	3005
92	306	2986
93	309	2979
94	310	2958
95	312	2938
96	313	2916
97	314	2894
98	315	2873
99	316	2852
100	318	2833
101	319	2814
102	320	2794
103	322	2778
104	325	2770
105	326	2751
106	327	2733
107	328	2714
108	330	2697
109	331	2680
110	332	2662
111	333	2645
112	335	2629
113	336	2613
114	339	2611
115	340	2596
116	341	2578
117	342	2563
118	344	2547
119	345	2531
120	346	2517
121	347	2501
122	348	2487
123	350	2474
124	351	2460
125	354	2456
126	355	2443
127	356	2430
128	358	2417
129	359	2404
130	360	2391
131	361	2378
132	362	2365
133	364	2353
134	365	2341
135	368	2342
136	370	2331
137	371	2319
138	372	2307
139	373	2296
140	375	2285
141	376	2272
142	377	2262
143	378	2251
144	379	2240
145	381	2230
146	384	2229
147	386	2227
148	389	2225
149	392	2221
150	394	2215
151	398	2222
152	400	2216
153	401	2206
154	402	2196
155	404	2187
156	405	2177
157	406	2168
158	408	2158
159	409	2149
160	410	2138
161	413	2136
162	414	2127
163	415	2119
164	417	2111
165	418	2102
166	419	2094
167	421	2088
168	423	2081
169	424	2073
170	427	2074
171	429	2066
172	430	2060
173	432	2054
174	434	2047
175	436	2041
176	437	2034
177	439	2027
178	440	2019
179	442	2017
180	444	2010
181	445	2003
182	447	1996
183	448	1989
184	449	1981
185	451	1974
186	452	1967
187	453	1960
188	455	1954
189	457	1951
190	459	1944
191	460	1937
192	461	1930
193	463	1925
194	464	1919
195	466	1912
196	468	1907
197	469	1901
198	472	1901
199	473	1895
200	475	1889
201	476	1883
202	478	1878
203	480	1873
204	481	1866
205	482	1860
206	484	1854
207	487	1854
208	488	1848
209	489	1842
210	491	1836
211	492	1830
212	493	1824
213	495	1818
214	496	1812
215	497	1806
216	499	1801
217	502	1801
218	503	1795
219	504	1790
220	506	1784
221	507	1778
222	508	1773
223	510	1768
224	511	1762
225	512	1756
226	514	1750
227	516	1749
228	518	1744
229	519	1739
230	521	1735
231	523	1732
232	524	1728
233	526	1722
234	527	1716
235	528	1711
236	531	1710
237	532	1705
238	533	1699
239	535	1695
240	536	1690
241	538	1685
242	539	1680
243	540	1675
244	542	1670
245	543	1665
246	545	1663
247	547	1659
248	548	1654
249	549	1649
250	551	1644
251	552	1639
252	553	1635
253	556	1635
254	560	1638
255	564	1641
256	566	1638
257	569	1638
258	571	1634
259	573	1631
260	576	1633
261	578	1629
262	580	1626
263	582	1622
264	583	1619
265	585	1615
266	587	1611
267	588	1608
268	591	1606
269	592	1603
270	594	1599
271	596	1595
272	598	1592
273	599	1588
274	601	1585
275	602	1580
276	605	1580
277	607	1576
278	608	1573
279	610	1569
280	611	1565
281	613	1562
282	615	1559
283	616	1555
284	620	1555
285	621	1552
286	623	1549
287	624	1545
288	626	1541
289	627	1537
290	629	1533
291	630	1529
292	631	1524
293	635	1525
